Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","21435.02","Apple juice, concentrated","2011","2011","tonnes","265606","T","Unofficial figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","21435.02","Apple juice, concentrated","2012","2012","tonnes","287547","T","Unofficial figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","21435.02","Apple juice, concentrated","2013","2013","tonnes","310818","T","Unofficial figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","21435.02","Apple juice, concentrated","2014","2014","tonnes","1019109.41","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","21435.02","Apple juice, concentrated","2015","2015","tonnes","986348.66","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","21435.02","Apple juice, concentrated","2016","2016","tonnes","1285394.67","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","21435.02","Apple juice, concentrated","2017","2017","tonnes","1409307.85","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","21435.02","Apple juice, concentrated","2018","2018","tonnes","1510903.47","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","21435.02","Apple juice, concentrated","2019","2019","tonnes","393631.22","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","21435.02","Apple juice, concentrated","2020","2020","tonnes","851955.19","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","21435.02","Apple juice, concentrated","2010","2010","tonnes","113","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","21435.02","Apple juice, concentrated","2011","2011","tonnes","74","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","21435.02","Apple juice, concentrated","2012","2012","tonnes","173","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","21435.02","Apple juice, concentrated","2013","2013","tonnes","77","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","21435.02","Apple juice, concentrated","2014","2014","tonnes","183.6","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","21435.02","Apple juice, concentrated","2015","2015","tonnes","321.48","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","21435.02","Apple juice, concentrated","2016","2016","tonnes","225.5","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","21435.02","Apple juice, concentrated","2017","2017","tonnes","376.83","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","21435.02","Apple juice, concentrated","2018","2018","tonnes","275.5","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","21435.02","Apple juice, concentrated","2020","2020","tonnes","126.47","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01341","Apples","2010","2010","tonnes","6","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01341","Apples","2013","2013","tonnes","1","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01341","Apples","2014","2014","tonnes","3.83","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01341","Apples","2015","2015","tonnes","111.76","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01341","Apples","2016","2016","tonnes","3495.62","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01341","Apples","2017","2017","tonnes","3112.39","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01341","Apples","2018","2018","tonnes","3521.26","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01341","Apples","2019","2019","tonnes","1164.43","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01341","Apples","2020","2020","tonnes","2595.23","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","01341","Apples","2010","2010","tonnes","9348","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","01341","Apples","2011","2011","tonnes","6306","A","Official figure"
